date,ticker,adj_close,close,volume,market_cap
2021-01-04,AAPL,125.74083709716797,129.41000366210938,143301900,5000000000000.0
2021-01-05,AAPL,127.2955093383789,131.00999450683594,97664900,5000000000000.0
2021-01-06,AAPL,123.0105209350586,126.5999984741211,155088000,5000000000000.0
2021-01-07,AAPL,127.20804595947266,130.9199981689453,109578200,5000000000000.0
2021-01-08,AAPL,128.30601501464844,132.0500030517578,105158200,5000000000000.0
2021-01-11,AAPL,125.32300567626953,128.97999572753906,100384500,5000000000000.0
2021-01-12,AAPL,125.14814758300781,128.8000030517578,91951100,5000000000000.0
2021-01-13,AAPL,127.17886352539062,130.88999938964844,88636800,5000000000000.0
2021-01-14,AAPL,125.25504302978516,128.91000366210938,90221800,5000000000000.0
2021-01-15,AAPL,123.53520965576172,127.13999938964844,111598500,5000000000000.0
2021-01-19,AAPL,124.20565795898438,127.83000183105469,90757300,5000000000000.0
2021-01-20,AAPL,128.28656005859375,132.02999877929688,104319500,5000000000000.0
2021-01-21,AAPL,132.98931884765625,136.8699951171875,120150900,5000000000000.0
2021-01-22,AAPL,135.12698364257812,139.07000732421875,114459400,5000000000000.0
2021-01-25,AAPL,138.8677978515625,142.9199981689453,157611700,5000000000000.0
2021-01-26,AAPL,139.1009979248047,143.16000366210938,98390600,5000000000000.0
2021-01-27,AAPL,138.0321807861328,142.05999755859375,140843800,5000000000000.0
2021-01-28,AAPL,133.20309448242188,137.08999633789062,142621100,5000000000000.0
2021-01-29,AAPL,128.21856689453125,131.9600067138672,177523800,5000000000000.0
2021-02-01,AAPL,130.33668518066406,134.13999938964844,106239800,5000000000000.0
2021-02-02,AAPL,131.1626434326172,134.99000549316406,83305400,5000000000000.0
2021-02-03,AAPL,130.14244079589844,133.94000244140625,89880900,5000000000000.0
2021-02-04,AAPL,133.49459838867188,137.38999938964844,84183100,5000000000000.0
2021-02-05,AAPL,133.0810089111328,136.75999450683594,75693800,5000000000000.0
2021-02-08,AAPL,133.22695922851562,136.91000366210938,71297200,5000000000000.0
2021-02-09,AAPL,132.3511962890625,136.00999450683594,76774200,5000000000000.0
2021-02-10,AAPL,131.7478485107422,135.38999938964844,73046600,5000000000000.0
2021-02-11,AAPL,131.49493408203125,135.1300048828125,64280000,5000000000000.0
2021-02-12,AAPL,131.72840881347656,135.3699951171875,60145100,5000000000000.0
2021-02-16,AAPL,129.60707092285156,133.19000244140625,80576300,5000000000000.0
2021-02-17,AAPL,127.32028198242188,130.83999633789062,97918500,5000000000000.0
2021-02-18,AAPL,126.2206802368164,129.7100067138672,96856700,5000000000000.0
2021-02-19,AAPL,126.37638854980469,129.8699951171875,87668800,5000000000000.0
2021-02-22,AAPL,122.61046600341797,126.0,103916400,5000000000000.0
2021-02-23,AAPL,122.47425842285156,125.86000061035156,158273000,5000000000000.0
2021-02-24,AAPL,121.97795867919922,125.3499984741211,111039900,5000000000000.0
2021-02-25,AAPL,117.73526000976562,120.98999786376953,148199500,5000000000000.0
2021-02-26,AAPL,117.99800109863281,121.26000213623047,164560400,5000000000000.0
2021-03-01,AAPL,124.35232543945312,127.79000091552734,116307900,5000000000000.0
2021-03-02,AAPL,121.75414276123047,125.12000274658203,102260900,5000000000000.0
2021-03-03,AAPL,118.7764663696289,122.05999755859375,112966300,5000000000000.0
2021-03-04,AAPL,116.89839172363281,120.12999725341797,178155000,5000000000000.0
2021-03-05,AAPL,118.15369415283203,121.41999816894531,153766600,5000000000000.0
2021-03-08,AAPL,113.22978973388672,116.36000061035156,154376600,5000000000000.0
2021-03-09,AAPL,117.83256530761719,121.08999633789062,129525800,5000000000000.0
2021-03-10,AAPL,116.75241088867188,119.9800033569336,111943300,5000000000000.0
2021-03-11,AAPL,118.67916870117188,121.95999908447266,103026500,5000000000000.0
2021-03-12,AAPL,117.774169921875,121.02999877929688,88105100,5000000000000.0
2021-03-15,AAPL,120.65454864501953,123.98999786376953,92403800,5000000000000.0
2021-03-16,AAPL,122.19203186035156,125.56999969482422,115227900,5000000000000.0
2021-03-17,AAPL,121.4038314819336,124.76000213623047,111932600,5000000000000.0
2021-03-18,AAPL,117.2876205444336,120.52999877929688,121229700,5000000000000.0
2021-03-19,AAPL,116.76214599609375,119.98999786376953,185549500,5000000000000.0
2021-03-22,AAPL,120.0707015991211,123.38999938964844,111912300,5000000000000.0
2021-03-23,AAPL,119.24356842041016,122.54000091552734,95467100,5000000000000.0
2021-03-24,AAPL,116.8594741821289,120.08999633789062,88530500,5000000000000.0
2021-03-25,AAPL,117.34600067138672,120.58999633789062,98844700,5000000000000.0
2021-03-26,AAPL,117.94933319091797,121.20999908447266,94071200,5000000000000.0
2021-03-29,AAPL,118.1244888305664,121.38999938964844,80819200,5000000000000.0
2021-03-30,AAPL,116.67456817626953,119.9000015258789,85671900,5000000000000.0
2021-03-31,AAPL,118.86404418945312,122.1500015258789,118323800,5000000000000.0
2021-04-01,AAPL,119.6911849975586,123.0,75089100,5000000000000.0
2021-04-05,AAPL,122.51317596435547,125.9000015258789,88651200,5000000000000.0
2021-04-06,AAPL,122.81482696533203,126.20999908447266,80171300,5000000000000.0
2021-04-07,AAPL,124.45935821533203,127.9000015258789,83466700,5000000000000.0
2021-04-08,AAPL,126.85317993164062,130.36000061035156,88844600,5000000000000.0
2021-04-09,AAPL,129.42218017578125,133.0,106686700,5000000000000.0
2021-04-12,AAPL,127.70951843261719,131.24000549316406,91420000,5000000000000.0
2021-04-13,AAPL,130.81369018554688,134.42999267578125,91266500,5000000000000.0
2021-04-14,AAPL,128.47828674316406,132.02999877929688,87222800,5000000000000.0
2021-04-15,AAPL,130.88185119628906,134.5,89347100,5000000000000.0
2021-04-16,AAPL,130.5509796142578,134.16000366210938,84922400,5000000000000.0
2021-04-19,AAPL,131.2126922607422,134.83999633789062,94264200,5000000000000.0
2021-04-20,AAPL,129.52920532226562,133.11000061035156,94812300,5000000000000.0
2021-04-21,AAPL,129.90870666503906,133.5,68847100,5000000000000.0
2021-04-22,AAPL,128.39071655273438,131.94000244140625,84566500,5000000000000.0
2021-04-23,AAPL,130.70664978027344,134.32000732421875,78657500,5000000000000.0
2021-04-26,AAPL,131.0958709716797,134.72000122070312,66905100,5000000000000.0
2021-04-27,AAPL,130.77476501464844,134.38999938964844,66015800,5000000000000.0
2021-04-28,AAPL,129.986572265625,133.5800018310547,107760100,5000000000000.0
2021-04-29,AAPL,129.88925170898438,133.47999572753906,151101000,5000000000000.0
2021-04-30,AAPL,127.92361450195312,131.4600067138672,109839500,5000000000000.0
2021-05-03,AAPL,128.97457885742188,132.5399932861328,75135100,5000000000000.0
2021-05-04,AAPL,124.41072082519531,127.8499984741211,137564700,5000000000000.0
2021-05-05,AAPL,124.65399932861328,128.10000610351562,84000900,5000000000000.0
2021-05-06,AAPL,126.24986267089844,129.74000549316406,78128300,5000000000000.0
2021-05-07,AAPL,126.92247009277344,130.2100067138672,78973300,5000000000000.0
2021-05-10,AAPL,123.64728546142578,126.8499984741211,88071200,5000000000000.0
2021-05-11,AAPL,122.73103332519531,125.91000366210938,126142800,5000000000000.0
