date,ticker,adj_close,close,volume
2019-01-02,IVV,224.43310546875,251.72000122070312,5980000
2019-01-03,IVV,218.824951171875,245.42999267578125,5831100
2019-01-04,IVV,226.51942443847656,254.05999755859375,6430100
2019-01-07,IVV,228.04409790039062,255.77000427246094,5961000
2019-01-08,IVV,230.2909393310547,258.2900085449219,5348500
2019-01-09,IVV,231.36077880859375,259.489990234375,4097000
2019-01-10,IVV,232.270263671875,260.510009765625,4325600
2019-01-11,IVV,232.1453857421875,260.3699951171875,5111600
2019-01-14,IVV,231.02197265625,259.1099853515625,3709900
2019-01-15,IVV,233.5185089111328,261.9100036621094,3781800
2019-01-16,IVV,234.1337127685547,262.6000061035156,4387500
2019-01-17,IVV,235.8544921875,264.5299987792969,4446800
2019-01-18,IVV,239.01072692871094,268.07000732421875,6994200
2019-01-22,IVV,235.82772827148438,264.5,5992300
2019-01-23,IVV,236.16651916503906,264.8800048828125,6762400
2019-01-24,IVV,236.3983917236328,265.1400146484375,3731700
2019-01-25,IVV,238.50253295898438,267.5,3333900
2019-01-28,IVV,236.5856170654297,265.3500061035156,4425100
2019-01-29,IVV,236.25570678710938,264.9800109863281,4454100
2019-01-30,IVV,240.04498291015625,269.2300109863281,5117200
2019-01-31,IVV,242.11349487304688,271.54998779296875,6521800
2019-02-01,IVV,242.24722290039062,271.70001220703125,3901800
2019-02-04,IVV,243.9858856201172,273.6499938964844,2960200
2019-02-05,IVV,245.02899169921875,274.82000732421875,4051300
2019-02-06,IVV,244.66348266601562,274.4100036621094,3962600
2019-02-07,IVV,242.36305236816406,271.8299865722656,6678000
2019-02-08,IVV,242.630615234375,272.1300048828125,2909300
2019-02-11,IVV,242.7643280029297,272.2799987792969,2770300
2019-02-12,IVV,245.920654296875,275.82000732421875,4285400
2019-02-13,IVV,246.6695556640625,276.6600036621094,2994400
2019-02-14,IVV,246.10784912109375,276.0299987792969,7159700
2019-02-15,IVV,248.89862060546875,279.1600036621094,4844200
2019-02-19,IVV,249.24635314941406,279.54998779296875,4588400
2019-02-20,IVV,249.72769165039062,280.0899963378906,5534300
2019-02-21,IVV,248.94313049316406,279.2099914550781,3118300
2019-02-22,IVV,250.37864685058594,280.82000732421875,4962900
2019-02-25,IVV,250.77088928222656,281.260009765625,4699300
2019-02-26,IVV,250.583740234375,281.04998779296875,4881300
