date,aggregate_flow_pressure_proxy,aggregate_flow_pressure_z
2019-01-03,-3786521.0871308907,
2019-01-04,5330029.610345242,
2019-01-07,926383.8927155327,
2019-01-08,1090939.428889766,
2019-01-09,514322.61877392884,-0.09309090308390934
2019-01-10,383526.89118536573,-0.12422662982503671
2019-01-11,25275.86119470018,-0.23163482340690006
2019-01-14,-480841.66761685646,-0.39391016868826917
2019-01-15,1126733.6634168015,0.23798305216836071
2019-01-16,216846.40330374305,-0.14391012966240488
2019-01-17,820253.5394101033,0.12381100810495134
2019-01-18,1917271.7631581158,0.6104002770274737
2019-01-22,-1786687.6404070915,-1.0990084162752785
2019-01-23,198430.77566784658,-0.1336580828749086
2019-01-24,45152.233286776886,-0.20385091246158682
2019-01-25,908779.3933963858,0.23871717254025063
2019-01-28,-736903.9470788878,-0.6215238882598488
2019-01-29,-101157.81848640637,-0.2646073205200753
2019-01-30,1687504.0534381042,0.7158905478381258
2019-01-31,1048553.4869664824,0.3406664573462593
2019-02-01,51273.54968608492,-0.4378601176370205
2019-02-04,501995.9565305168,0.0991315799486926
2019-02-05,378285.3461951407,-0.01451430631565084
2019-02-06,-88285.57625038599,-0.5060356271920115
2019-02-07,-1059703.8738224078,-1.4844150596250087
2019-02-08,101128.07081955991,-0.15557365794630806
2019-02-11,45698.925757501944,-0.21947436947101628
2019-02-12,1103851.8517272568,0.884854411631851
2019-02-13,239240.35373604763,-0.04078188144816087
2019-02-14,-212948.70325552474,-0.5336649689826052
2019-02-15,1171707.833730426,1.013909965631431
2019-02-19,117889.56707474214,-0.07851485230774417
2019-02-20,175036.21845303872,-0.15895622882148863
2019-02-21,-258084.40047477838,-0.774750522937338
2019-02-22,537731.2998634274,0.3870496006989731
2019-02-25,111402.17655509175,-0.19941434080102918
2019-02-26,-51753.502862499095,-0.534646638988727
2019-02-27,-26476.95442730058,-0.5011947856082485
2019-02-28,-147654.39190205318,-0.6475321170850539
2019-03-01,562022.3213997624,0.8244026770461138
2019-03-04,-436446.7979070357,-1.1440422343077452
2019-03-05,-91850.86394422251,-0.40302608230615683
2019-03-06,-508574.30470773927,-1.120356135659855
2019-03-07,-904500.4467268039,-1.6725392321944215
2019-03-08,-196231.38058220263,-0.5291786891369478
2019-03-11,1055342.0820573582,1.730862264208249
2019-03-12,322476.3343323071,0.35638643151478655
2019-03-13,579559.1961651925,0.9416111572843567
2019-03-14,-46153.82258955045,-0.2637421007053625
2019-03-15,441933.5456035713,0.6330707725809989
2019-03-18,256372.03265981312,0.40787847622171247
2019-03-19,25024.689887331027,-0.10082637787971092
2019-03-20,-295508.51488650945,-0.7561860122833405
2019-03-21,1007579.2545165571,1.8176691213582354
2019-03-22,-2673813.7734475927,-3.344642918624184
2019-03-25,-73663.90470676403,-0.017295974300154688
2019-03-26,583614.3515575344,0.768379624096865
2019-03-27,-422644.3052261621,-0.46735420458145255
2019-03-28,240894.89678303874,0.33557679290588494
2019-03-29,589011.8226368482,0.7661512596640999
2019-04-01,1049322.746274917,1.203571213438279
2019-04-02,21608.552012482254,-0.03721674716937055
2019-04-03,122947.14390887495,0.04720188735891114
2019-04-04,147116.84529903744,0.013167248578698809
2019-04-05,317700.2242240209,0.19777098847910388
2019-04-08,46943.92499107044,-0.08600925024287727
2019-04-09,-383220.25086013053,-0.6030799262817051
2019-04-10,208521.55889298144,0.19932352320333646
2019-04-11,-15866.437829684917,-0.10020282593830454
2019-04-12,519120.1986232043,0.602342670094179
2019-04-15,-37776.012038643545,-0.11469454403228671
2019-04-16,39527.55936137752,-0.013298409264737271
2019-04-17,-169608.40664193852,-0.29954848183751975
2019-04-18,153639.1830731685,0.19526915374737366
2019-04-22,39267.25080571643,-0.31870966057366656
2019-04-23,555651.5463884589,1.0693025421803215
2019-04-24,-122548.99358388773,-0.7782192717376178
2019-04-25,-41241.90610421543,-0.6407157650467953
2019-04-26,269426.0122767423,0.32399531588443187
2019-04-29,98896.97314263514,-0.13789714731246014
2019-04-30,45136.819625258664,-0.20934723003479164
2019-05-01,-607583.0159769736,-2.487542367881679
2019-05-02,-156595.619228699,-0.7427445029666319
2019-05-03,624959.9603286996,1.8479274849021383
2019-05-06,-475727.5598748777,-1.588574020994887
2019-05-07,-2658686.942410321,-3.7550150606285633
2019-05-08,-144305.90328520685,-0.07463562783320972
2019-05-09,-343241.666659357,-0.3286336801522856
2019-05-10,613305.5892829378,1.0123279869290134
2019-05-13,-3586992.1384301097,-3.19375168323084
2019-05-14,793693.7915592861,0.9899039351571179
2019-05-15,478724.7291421629,0.6646024922355824
2019-05-16,795777.2644038211,0.895553261476498
2019-05-17,-700813.0728930568,-0.43300139436002605
2019-05-20,-463218.7659019675,-0.19345832115611006
2019-05-21,491584.365405957,0.6824583120702394
2019-05-22,-175975.24301155505,0.07426787713495811
2019-05-23,-1340563.1168930707,-0.911169653216708
2019-05-24,136362.64317609178,0.4173673885262734
2019-05-28,-731382.7584252267,-0.3244080822466308
2019-05-29,-799592.6349217116,-0.34791883054383044
2019-05-30,192829.30806764617,0.5049576774527594
2019-05-31,-1327177.7453178936,-0.7874087327344235
2019-06-03,-284575.02131743735,0.17266261670613114
2019-06-04,1895291.1642192784,1.8295269154053935
2019-06-05,717710.4245340724,0.8049657466208254
2019-06-06,510534.4458652856,0.5863600840654968
2019-06-07,809404.0488149847,0.7852864900692016
2019-06-10,322747.68195553985,0.3795351192734472
2019-06-11,-16691.601722379957,-0.10148166154029678
2019-06-12,-93960.4820732586,-0.14545338343811404
2019-06-13,228572.94223221287,0.2810278698294377
2019-06-14,-65192.828422456005,-0.040038300917635564
2019-06-17,20657.79599319491,0.025886590854722454
2019-06-18,985899.1771045735,1.1880368638778982
2019-06-19,216468.61218571867,0.20517368609926306
2019-06-20,1213427.3734723814,1.351618763225492
2019-06-21,-128906.91269286897,-0.4386416463162579
2019-06-24,-77423.47048663684,-0.35199750799203033
2019-06-25,-877850.487532313,-1.4188775633082906
2019-06-26,-62699.70547422957,-0.3844186155334254
2019-06-27,175871.93495039895,-0.045611860303234206
2019-06-28,368223.48146620445,0.12401599154236309
2019-07-01,814951.1912638348,0.7755404933562771
2019-07-02,186903.2366026811,-0.15735062847622305
2019-07-03,376107.36950071907,0.27885429686290036
2019-07-05,-67314.00830826563,-0.6044118753347573
2019-07-08,-296841.9604643514,-0.9933399201393557
2019-07-09,62539.8555400496,-0.18610925126490332
2019-07-10,311509.730777604,0.3197658840171736
2019-07-11,136373.56797894253,-0.08710798330445062
2019-07-12,225929.26105819028,0.10973316624629323
2019-07-15,9796.626916472585,-0.3743225438928435
2019-07-16,-135341.78166007137,-0.6707290918722322
2019-07-17,-288024.829947886,-0.9292659394555147
2019-07-18,223272.22073909317,0.26906741899151093
2019-07-19,-367294.97433229216,-1.131557634329132
2019-07-22,119769.4759039271,0.22296272890614788
2019-07-23,357491.9263907512,0.8280917912689741
2019-07-24,254386.09900157116,0.48084724001684126
2019-07-25,-302330.8200691897,-1.4062260095783479
2019-07-26,345901.27313909953,0.7726337802233754
2019-07-29,-82726.70951769935,-0.6029454486326699
2019-07-30,-130172.03656478248,-0.7286518093486151
2019-07-31,-1315760.5783250052,-3.325849355986827
2019-08-01,-1427885.329540257,-2.6965435194003975
2019-08-02,-1028043.5682291776,-1.6376831640635685
2019-08-05,-5969801.092765587,-3.938813854135926
2019-08-06,1866202.297438215,1.4927282425078
2019-08-07,95004.01705279546,0.31317846767498214
2019-08-08,1979092.038496543,1.4338732216317756
2019-08-09,-700160.9261550818,-0.23868489702210569
2019-08-12,-888131.0681501833,-0.3290929417037616
2019-08-13,1614007.7608152616,1.1588531287949935
2019-08-14,-4426211.376357167,-2.0936021311985695
2019-08-15,293425.150556859,0.41397319672603067
2019-08-16,1373897.0267247509,0.9196026114330003
2019-08-19,731125.6470242608,0.5663098093445935
2019-08-20,-446260.44365877786,-0.01967420671975977
2019-08-21,455937.35459968494,0.44080134727238657
2019-08-22,-19698.79934778151,0.18785549517086453
2019-08-23,-4191607.378898275,-1.6989845060758113
2019-08-26,892411.0449320698,0.6823812492981988
2019-08-27,-293675.9270459428,0.12986519554021128
2019-08-28,482036.4152454508,0.45080790684662037
2019-08-29,860490.4534597371,0.5723744607632445
2019-08-30,-30603.01540526772,0.133534873700638
2019-09-03,-478714.9568749015,-0.26070424947515153
2019-09-04,601628.1764358549,0.4349750855985257
2019-09-05,1185924.1505754148,0.7495374734349207
2019-09-06,42623.76208309323,0.12012498575631676
2019-09-09,29263.104379310236,0.08885294332249274
2019-09-10,-9955.753732856263,0.03629048318226206
2019-09-11,556988.3510821495,0.44478607501788137
2019-09-12,284762.71473611775,0.1487266619837736
2019-09-13,-47705.680007592884,-0.12926598009108214
2019-09-16,-194552.32629016988,-0.19637169604797963
2019-09-17,124462.53129121556,0.12400138148638767
2019-09-18,47135.09319820381,0.0299423516361846
2019-09-19,-7590.915632762555,0.0006785132826762197
2019-09-20,-475837.47022409405,-0.4125064869897319
2019-09-23,-5765.372326574592,-0.40610618434368023
2019-09-24,-875414.7913322015,-2.0192394958299054
2019-09-25,500428.01954409666,0.7769360343263674
2019-09-26,-133123.15083678302,-0.4898079342278733
2019-09-27,-501523.02767757414,-1.1679572657083237
2019-09-30,280513.02265463845,0.5108470116292029
2019-10-01,-1190045.6445368447,-2.289453955819952
2019-10-02,-2419057.780344588,-3.091314071586843
2019-10-03,797749.5752035227,1.3587603862926065
2019-10-04,1007544.7824249048,1.4904730896101763
2019-10-07,-285651.38932691974,-0.2107977268447544
2019-10-08,-1616759.992040169,-1.717234391383246
2019-10-09,672392.2171981968,1.0576990790158867
2019-10-10,432074.70343087846,0.753315022729755
2019-10-11,1130865.9562342206,1.434397622416602
2019-10-14,-48321.12053314098,0.09056974947987162
2019-10-15,532727.0171789961,0.7167055280344246
2019-10-16,-89053.87863891527,0.02870736213173012
2019-10-17,154648.67638841696,0.291921688085067
2019-10-18,-304263.8652710166,-0.23124798129823498
2019-10-21,324106.27116995066,0.45229896356029486
2019-10-22,-185332.86477743657,-0.15760311346646635
2019-10-23,112560.01145857984,0.205884164841291
2019-10-24,69389.66413629088,0.1445089983546853
2019-10-25,227860.02298735536,0.28624796555484616
2019-10-28,291529.5006814091,0.35911536141757083
2019-10-29,-15606.333704955243,-0.06712854168289033
2019-10-30,177120.49532201805,0.013481984229369826
2019-10-31,-211540.73425542418,-0.5817617590699211
2019-11-01,730193.5067862273,1.1408604760221701
2019-11-04,275928.5753781142,0.26398547842126197
2019-11-05,-59362.10470383305,-0.7570034133211818
2019-11-06,11581.583745144537,-0.4857143368313973
